ds,yhat,yhat_lower,yhat_upper
2024-06-21,651.2619408402672,336.55730204554135,981.9212988692167
2024-06-22,667.2802676086759,360.7193330787495,1001.7130055169135
2024-06-23,706.1269925758753,361.7246954981079,1012.9123109674895
2024-06-24,691.0240629716754,370.3545040272283,1020.9700501137389
2024-06-25,717.1011078049416,382.0981354600602,1035.350437213429
2024-06-26,700.5224075805737,378.27797700285896,1023.0542832561105
2024-06-27,754.7641371142902,416.7907089979577,1060.9354137824798
2024-06-28,706.5716853731824,385.65022318740745,1040.3334664744998
2024-06-29,718.5731693222493,382.35787262465385,1035.7547469133663
2024-06-30,752.5072411416982,406.1646819887587,1067.4527266654798
2024-07-01,731.6869824867226,411.78293101853615,1061.354714946207
2024-07-02,751.3557542494932,406.10634863496887,1101.3461598722522
2024-07-03,727.8116283311701,392.0656149121833,1054.3180086913117
2024-07-04,774.6815117377895,445.82981651024863,1120.6463353146119
2024-07-05,718.8748420049533,380.84909632585317,1034.4937832697592
2024-07-06,723.1930615291195,407.67541422199434,1050.877068685624
2024-07-07,749.5530720467673,414.05320779948744,1055.8653267310885
2024-07-08,721.4465754422455,360.7761046520556,1047.5050354565049
2024-07-09,734.2912883578887,409.980836522189,1065.3836496983747
2024-07-10,704.5507799137266,369.7244037202957,1022.4418495526756
2024-07-11,746.0041660347578,422.78102291447004,1084.5849482972017
2024-07-12,685.6956600354514,352.7757087909658,1015.21498479514
2024-07-13,686.5403007010491,350.8284318530023,1024.240693402886
2024-07-14,710.544164600561,381.5993567420501,1028.5884555187638
2024-07-15,681.2610612585869,353.38185280071525,1012.6658596403267
2024-07-16,694.1417766039867,378.24953686096745,1021.7998438097424
2024-07-17,665.6526748253865,339.17413947798235,1009.3315940733618
2024-07-18,709.5449340501445,374.5795584270833,1021.5510581973119
2024-07-19,652.8044372207385,326.8584356392882,995.8891754096626
